,Chijmes,Lau Pa Sat (Telok Ayer Market),Maxwell Road Hawker Centre
Chijmes,0,2011,1983
Lau Pa Sat (Telok Ayer Market),2011,0,897
Maxwell Road Hawker Centre,1983,897,0
