,Chijmes,Lau Pa Sat (Telok Ayer Market),Maxwell Road Hawker Centre,Marina Bay Sand
Chijmes,0,5.3674,5.0407,5.1232
Lau Pa Sat (Telok Ayer Market),6.50645,0,4.49125,4.82015
Maxwell Road Hawker Centre,6.73305,4.7987,0,5.51865
Marina Bay Sand,5.4345,4.92025,5.5115,0
