,Chijmes,Lau Pa Sat (Telok Ayer Market),Maxwell Road Hawker Centre,Marina Bay Sand
Chijmes,0,0.739,0.7405,0.7365
Lau Pa Sat (Telok Ayer Market),0.758,0,0.3415,0.5405
Maxwell Road Hawker Centre,0.7525,0.331,0,0.8185
Marina Bay Sand,0.7555,0.545,0.836,0
