,Chijmes,Lau Pa Sat (Telok Ayer Market),Maxwell Road Hawker Centre
Chijmes,0,2281,3357
Lau Pa Sat (Telok Ayer Market),2818,0,1075
Maxwell Road Hawker Centre,4042,5205,0
