,Chijmes,Lau Pa Sat (Telok Ayer Market),Maxwell Road Hawker Centre,Marina Bay Sands
Chijmes,0,658,455,407
Lau Pa Sat (Telok Ayer Market),893,0,252,292
Maxwell Road Hawker Centre,929,431,0,618
Marina Bay Sands,576,343,595,0
